,wk12,wk13,wk14,wk15,wk16
s1,0.07071071454282579,0.12670865752760543,0.09537230987014172,0.1514970348392861,0.19523121759221942
s2,0.1520953887473375,0.078704695696964,0.104511329804039,0.2520839495421143,0.18030894850922155
s5,0.006018644168497371,0.024937677340137573,0.040487714240045464,0.060333231458550185,0.04722866306551538
s6,0.06348731479783976,0.05130879714416836,0.038655335904066966,0.05579218958243402,0.09391454035682169
