,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7
s1,0.020856939413150862,0.1856589724896382,0.1853139181426699,0.06436744273387844,0.11996125611567927,0.051943400570466015,0.020339501084486664,0.09736633214821538
s2,0.00725148286056519,0.0726889462742845,0.15059904251881875,0.02925642015005585,0.06543004952734359,0.029734234297656575,0.02919168632540327,0.18060726002591468
s3,0.03833091252770038,0.10208242735047746,0.09192322823911234,0.03586558437282407,0.04372769033778445,0.04142913158270254,0.013659531541504585,0.05356509259188966
s4,0.018019789729323478,0.10600529474915545,0.2108311822761418,0.17986038648962901,0.09220354065552995,0.17057364845268644,0.040285462239146,0.20194689622088652
s5,0.02578819664368706,0.0061879437293221595,0.005907380765943797,0.01288377781086749,0.010432335019419904,0.006639887943267909,0.004830553795095196,0.010334067990733678
s6,0.0071005102053870615,0.06037680509308108,0.04781550759022218,0.036638688538323465,0.03778332707682092,0.029190633232640713,0.028534388736878965,0.10161200425513511
