,wk8,wk9,wk10,wk11
s1,0.1304637694182832,0.2015844417569536,0.1326977219355802,0.15264002490438464
s2,0.03696271966458207,0.11727562734334747,0.085198425201735,0.1432338695089547
s3,0.08654339894173421,0.19735752586338445,0.07766601743546368,0.08403537322239142
s5,0.007537603579287984,0.009980046532927314,0.0050416824443601516,0.035263921803122385
s6,0.018610618060854234,0.07860545694279492,0.05361004846884905,0.10233787977448593
