,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
s1,0.0010102071666900816,0.005008203282732069,0.006543873235024905,0.0012430785808493227,0.006246799440599825,0.003940284791851102,0.0027098874947684252,0.0019509151098689064,0.005315746403244618,0.0062814349392095225,0.004545730666331965,0.0063411481990678035,0.005186328490683438,0.006243033709555578,0.006888175172628903,0.006374954106738065,0.006918241667045551,0.011554890126423275,0.0030035287853374575
s2,0.0008399834926949357,0.0016105057667080774,0.006399392468694834,0.003506927187606122,0.00408861312900988,0.0028161766563533004,0.0031556629674282456,0.004192708484013416,0.004644165555152667,0.005131215960238553,0.004015864862863659,0.009620329177728747,0.004767163523052651,0.007417031688039671,0.004980008348644234,0.007988357150491359,0.008285975105231588,0.012083671564216046,0.0040293469901338365
s3,0.0022799208384982083,0.004485747269835121,0.006559762120244862,0.0025694839142079936,0.004536604115071668,0.005992269274318258,0.0053590771529960675,0.0028851095978519436,0.005980270935848049,0.007599506602181441,0.0070170299799705805,0.010748803609553347,,,,,,,
s4,0.00250139859390979,0.0060590598111473935,0.007133446239757818,0.004553198444533777,0.007498893206224114,0.006878378448856666,0.005780051325608736,0.003980989795011709,,,,,,,,,,,
s5,0.0012789107313004831,0.0009554869619363855,0.0013645065942737857,0.0007513968598659672,0.0011894128966038356,0.001123570222720036,0.0007435971858903378,0.0007412333590714423,0.000813055343282448,0.001188198529274073,0.00035007047220932314,0.0045717041825634255,0.0012789895510512941,0.0026858116915997846,0.006512724674334985,0.009147187776519688,0.007340388765620898,0.010547278831624103,0.002583640842457676
s6,0.0010656917439696824,0.002032292509863742,0.005987775849516957,0.004647561452310114,0.0050033124662926315,0.0055576927477201535,0.003016684385775969,0.002650939742073693,0.005012769854658344,0.005590742899278764,0.00395330355484147,0.014429275570798594,0.0059471336591014655,0.011893988285806898,0.008443106818722984,0.012175508897812394,0.01876388068841709,,
