,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
s1,0.0002738244446778583,0.0005412142094363609,0.0007575656760593365,0.00034071104341162217,0.0003477474853809669,0.00047366009728891134,0.0003550167722038489,0.0003851463178068847,0.0005516377710618245,0.0005153088046136621,0.0010371654720389837,0.0007587894926326535,0.0014931689253436672,0.0013693620110582394,0.0017329587057925203,0.0011361849734092503,0.0010646705174987105,0.0017846291285195594,0.0006515879765376717
s2,0.0003236606424486289,0.00039634624267146756,0.0006879896965914594,0.0007332152935899097,0.0003175274258229261,0.0006610156966308677,0.0003786285714117249,0.0008964718668177615,0.0006156522070911593,0.000601549251083756,0.0007584939314078576,0.0019330178034763581,0.0014476151864148852,0.0021599188238049937,0.0009026485633197635,0.001454911304325371,0.0013784174306380344,0.0018028516488608995,0.0006925335784127275
s3,0.00048281549463855894,0.00044477393823308766,0.0009840252971299811,0.00042147452275965313,0.0005118291595701227,0.0011216609975078396,0.0009177856120593925,0.0008668559335024869,0.0010096571942975125,0.001574057613785213,0.002040421648588672,0.002080395745494758,,,,,,,
s4,0.00043900150435970147,0.0005376223791331047,0.0007357992516561041,0.0007278931607025474,0.001222969572982203,0.0015809257838233343,0.0012689335453430577,0.0014597897792980295,,,,,,,,,,,
s5,0.00028954816611994954,0.0002656060781804586,9.425789500418131e-05,0.00032449579632253136,0.00019216109686440576,0.00010041531863711183,0.00014665310716864208,0.00020388848176918975,0.0001542510481668191,0.00024909332313946867,0.00015954811268165345,0.0002985956030452328,0.00020940863697254078,0.0005945343566737448,0.0018331150189708025,0.0014740699102826513,0.0007676360631281732,0.001087902801897179,0.0003538775455890725
s6,0.0001569988531624752,0.0003277081870546057,0.001327205355588393,0.00044384061663067245,0.0005424059440627089,0.0011374837714111473,0.000565416274043618,0.0004892343723914891,0.0006812418205252693,0.000617904044664056,0.0009906376135693047,0.002582864954479401,0.0018992834948681672,0.003051300322093106,0.0020364759216569134,0.0026181292878942105,0.002804776621895811,,
