,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
s1,0.0008451259734786439,0.0009424958927335307,0.0017425386156709423,0.0012377645492855983,0.0009798941209050798,0.0013804305862909175,0.0012080313867066418,0.0012337015941429044,0.0015999179731587983,0.001741256668718225,0.002336839738258186,0.0021496455672952775,0.002697037586718902,0.002798328204787502,0.0024968080728474656,0.002446921152605981,0.002264368354910626,0.0019269329023459804,0.0014732805405499563
s2,0.0008274460762274328,0.0007281158779661648,0.0017107837063036686,0.0011827731358478972,0.0008660510064830619,0.0016811409368883475,0.0011998896340063693,0.0017855919722223456,0.0014434062149777244,0.0015029041994149787,0.0018314123992647,0.003483246505160161,0.0027045071153967404,0.0035289385076960472,0.0019006803435727849,0.0027559641161387575,0.0026653613583823904,0.0017719248960629368,0.0014745208452090189
s3,0.0013975640313313217,0.0009450028693787436,0.0021225753309004228,0.0014090446562266931,0.0012590010886252602,0.0023907004851694484,0.0021171412851129705,0.0020168798361331485,0.002269857535126369,0.002665375641496783,0.003579499128375439,0.004230306794120088,,,,,,,
s4,0.00116763416886596,0.0008709696318192086,0.0016408755608343889,0.0016559829813471633,0.0020586081677561705,0.0028748760194623755,0.0025272970330529887,0.002730036075589151,,,,,,,,,,,
s5,0.0008455350209550262,0.00024045571882270827,0.00036991523602174177,0.0007958933643319457,0.0005060312697478418,0.0005129743089278667,0.0006165504473382293,0.0006058109136114982,0.0006105746209112242,0.0006399986594385494,0.0006247898816217183,0.0011988703785845596,0.0008792738179018054,0.0016305413657800001,0.002994051077047676,0.0028848547555437795,0.0018053832660557502,0.0007833393568857064,0.0011386134975773007
s6,0.0005113718967394622,0.000635114941840503,0.00214713548859223,0.0012312653179536678,0.0014406455075023836,0.0023290183436178386,0.0015518052474846854,0.0012051543184860686,0.0015506868025539015,0.0014953182907652212,0.0020360089546484846,0.0038251578796561487,0.0029120405213425254,0.004611652097796371,0.0027513537364097277,0.003901486945882075,0.004030423183081744,,
